"V1" "V2" "V3"
"645" 11 24 18
"646" 12 24 18
"647" 13 24 18
"648" 13 24 17
"649" 13 25 17
"650" 13 25 18
"651" 13 24 18
"652" 12 24 18
"653" 11 24 18
"654" 11 23 18
"655" 11 24 18
"656" 11 25 18
"657" 11 25 19
"658" 11 25 20
"659" 11 25 19
"660" 11 25 20
"661" 11 25 19
"662" 11 25 20
"663" 11 26 20
"664" 12 26 20
"665" 13 26 20
"666" 13 25 20
"667" 13 24 20
"668" 13 25 20
"669" 13 24 20
"670" 12 24 20
"671" 13 24 20
"672" 13 24 19
"673" 13 24 20
"674" 13 23 20
"675" 13 22 20
"676" 12 22 20
"677" 12 21 20
"678" 12 21 21
"679" 13 21 21
"680" 12 21 21
"681" 13 21 21
"682" 14 21 21
"683" 14 22 21
"684" 14 22 20
"685" 14 22 21
"686" 13 22 21
"687" 13 23 21
"688" 12 23 21
"689" 12 23 20
"690" 12 23 21
"691" 12 24 21
"692" 12 25 21
"693" 13 25 21
"694" 13 26 21
"695" 12 26 21
"696" 12 25 21
"697" 12 26 21
"698" 12 26 22
"699" 11 26 22
"700" 12 26 22
"701" 12 26 21
"702" 12 27 21
"703" 12 27 20
"704" 12 26 20
"705" 11 26 20
"706" 11 26 21
"707" 11 25 21
"708" 11 24 21
"709" 11 24 20
"710" 11 24 21
"711" 12 24 21
"712" 12 24 20
"713" 13 24 20
"714" 13 24 19
"715" 14 24 19
"716" 14 24 20
"717" 14 24 21
"718" 14 25 21
"719" 14 25 20
"720" 13 25 20
"721" 13 25 21
"722" 13 26 21
"723" 13 26 20
"724" 14 26 20
"725" 13 26 20
"726" 13 25 20
"727" 12 25 20
"728" 11 25 20
"729" 11 25 21
"730" 11 26 21
"731" 10 26 21
"732" 10 27 21
"733" 10 28 21
"734" 10 29 21
"735" 10 28 21
"736" 10 28 22
"737" 9 28 22
"738" 9 27 22
"739" 8 27 22
"740" 8 28 22
"741" 7 28 22
"742" 8 28 22
"743" 9 28 22
"744" 9 27 22
"745" 10 27 22
"746" 9 27 22
"747" 8 27 22
"748" 8 26 22
"749" 8 26 21
"750" 7 26 21
"751" 7 26 20
"752" 7 26 19
"753" 6 26 19
"754" 7 26 19
"755" 7 26 18
"756" 7 25 18
"757" 7 25 19
"758" 7 25 18
"759" 6 25 18
"760" 6 25 19
"761" 5 25 19
"762" 5 25 18
"763" 6 25 18
"764" 6 25 19
"765" 7 25 19
"766" 7 26 19
"767" 7 25 19
"768" 8 25 19
"769" 8 25 18
"770" 8 25 19
"771" 7 25 19
"772" 7 25 18
"773" 8 25 18
"774" 7 25 18
"775" 7 25 17
"776" 7 26 17
"777" 7 27 17
"778" 6 27 17
"779" 6 27 16
"780" 6 27 17
"781" 6 26 17
"782" 7 26 17
"783" 8 26 17
"784" 8 26 16
"785" 7 26 16
"786" 7 26 15
"787" 6 26 15
"788" 6 26 14
"789" 6 26 15
"790" 6 26 16
"791" 6 26 17
"792" 6 26 18
"793" 6 27 18
"794" 6 28 18
"795" 6 29 18
"796" 6 30 18
"797" 7 30 18
"798" 7 30 17
"799" 7 30 18
"800" 6 30 18
"801" 6 30 17
"802" 6 30 16
"803" 6 29 16
"804" 6 29 17
"805" 6 29 16
"806" 6 29 17
"807" 6 29 16
"808" 7 29 16
"809" 7 30 16
"810" 7 30 15
"811" 8 30 15
"812" 8 31 15
"813" 9 31 15
"814" 10 31 15
"815" 10 31 16
"816" 11 31 16
"817" 11 31 15
"818" 11 31 14
"819" 11 31 13
"820" 12 31 13
"821" 12 31 12
"822" 13 31 12
"823" 13 31 11
"824" 13 30 11
"825" 13 31 11
"826" 13 30 11
"827" 12 30 11
"828" 11 30 11
"829" 12 30 11
"830" 13 30 11
"831" 12 30 11
"832" 12 29 11
"833" 12 29 12
"834" 11 29 12
"835" 11 28 12
"836" 10 28 12
"837" 10 28 13
"838" 9 28 13
"839" 9 27 13
"840" 9 27 14
"841" 9 27 15
"842" 9 26 15
"843" 8 26 15
"844" 9 26 15
"845" 9 25 15
"846" 9 26 15
"847" 9 26 16
"848" 8 26 16
"849" 7 26 16
"850" 7 27 16
"851" 7 26 16
"852" 7 26 15
"853" 6 26 15
"854" 6 25 15
"855" 6 25 16
"856" 7 25 16
"857" 7 25 17
"858" 7 24 17
"859" 8 24 17
"860" 8 24 16
"861" 7 24 16
"862" 8 24 16
"863" 7 24 16
"864" 7 24 15
"865" 7 24 16
"866" 7 23 16
"867" 7 23 17
"868" 7 23 16
"869" 7 23 17
"870" 7 22 17
"871" 7 22 18
"872" 6 22 18
"873" 6 22 19
"874" 7 22 19
"875" 6 22 19
"876" 6 23 19
"877" 6 22 19
"878" 5 22 19
"879" 4 22 19
"880" 4 21 19
"881" 3 21 19
"882" 4 21 19
"883" 4 21 20
"884" 3 21 20
"885" 3 22 20
"886" 3 21 20
"887" 3 20 20
"888" 3 20 21
"889" 2 20 21
"890" 2 20 22
"891" 1 20 22
"892" 1 21 22
"893" 1 22 22
"894" 1 21 22
"895" 2 21 22
"896" 2 22 22
"897" 3 22 22
"898" 3 22 23
"899" 2 22 23
"900" 1 22 23
"901" 0 22 23
"902" 0 21 23
"903" 0 21 22
"904" 0 20 22
"905" -1 20 22
"906" -1 19 22
"907" -1 20 22
"908" -1 21 22
"909" 0 21 22
"910" -1 21 22
"911" -1 22 22
"912" -1 21 22
"913" -1 22 22
"914" -1 22 21
"915" -2 22 21
"916" -2 21 21
"917" -2 22 21
"918" -2 23 21
"919" -2 22 21
"920" -2 21 21
"921" -3 21 21
"922" -4 21 21
"923" -4 21 20
"924" -4 21 21
"925" -4 22 21
"926" -4 22 22
"927" -4 22 21
"928" -3 22 21
"929" -4 22 21
"930" -5 22 21
"931" -5 23 21
"932" -5 22 21
"933" -5 23 21
"934" -5 23 20
"935" -5 23 19
"936" -5 23 20
"937" -5 23 21
"938" -6 23 21
"939" -5 23 21
"940" -5 23 22
"941" -5 23 23
"942" -4 23 23
"943" -4 23 24
"944" -5 23 24
"945" -5 22 24
"946" -4 22 24
"947" -5 22 24
"948" -5 21 24
"949" -5 21 25
"950" -6 21 25
"951" -6 21 26
"952" -6 20 26
"953" -7 20 26
"954" -7 20 27
"955" -7 19 27
"956" -7 20 27
"957" -7 21 27
"958" -7 21 28
"959" -7 20 28
"960" -7 19 28
"961" -8 19 28
"962" -9 19 28
"963" -8 19 28
"964" -9 19 28
"965" -9 19 27
"966" -9 18 27
"967" -9 19 27
"968" -8 19 27
"969" -8 19 26
"970" -8 20 26
"971" -7 20 26
"972" -6 20 26
"973" -7 20 26
"974" -6 20 26
"975" -6 19 26
"976" -5 19 26
"977" -5 19 25
"978" -6 19 25
"979" -7 19 25
"980" -7 20 25
"981" -6 20 25
"982" -6 19 25
"983" -6 20 25
"984" -6 20 26
"985" -5 20 26
"986" -5 20 27
"987" -5 20 26
"988" -5 21 26
"989" -5 21 25
"990" -5 21 26
"991" -5 21 25
"992" -6 21 25
"993" -6 20 25
"994" -7 20 25
"995" -6 20 25
"996" -5 20 25
"997" -5 21 25
"998" -5 22 25
"999" -6 22 25
"1000" -6 22 26
"1001" -6 23 26
"1002" -5 23 26
"1003" -5 23 27
"1004" -5 23 26
"1005" -6 23 26
"1006" -6 22 26
"1007" -7 22 26
"1008" -7 22 25
"1009" -7 22 24
"1010" -6 22 24
"1011" -6 22 23
"1012" -6 21 23
"1013" -5 21 23
"1014" -5 21 22
"1015" -5 21 23
"1016" -5 22 23
"1017" -6 22 23
"1018" -7 22 23
"1019" -6 22 23
"1020" -6 22 22
"1021" -6 22 21
"1022" -5 22 21
"1023" -5 23 21
"1024" -5 24 21
"1025" -5 24 22
"1026" -6 24 22
"1027" -6 25 22
"1028" -5 25 22
"1029" -5 26 22
"1030" -5 26 23
"1031" -5 27 23
"1032" -5 27 24
"1033" -5 27 23
"1034" -5 27 24
"1035" -5 28 24
"1036" -5 28 23
"1037" -5 29 23
"1038" -5 28 23
"1039" -5 28 24
"1040" -5 28 25
"1041" -5 28 24
"1042" -5 27 24
"1043" -5 26 24
"1044" -5 27 24
"1045" -6 27 24
"1046" -7 27 24
"1047" -7 26 24
"1048" -7 26 23
"1049" -7 25 23
"1050" -7 25 22
"1051" -7 24 22
"1052" -6 24 22
"1053" -7 24 22
"1054" -8 24 22
"1055" -9 24 22
"1056" -9 25 22
"1057" -9 25 23
"1058" -9 26 23
"1059" -9 25 23
"1060" -9 25 22
"1061" -8 25 22
"1062" -7 25 22
"1063" -7 25 21
"1064" -6 25 21
"1065" -7 25 21
"1066" -7 24 21
"1067" -7 23 21
"1068" -7 23 22
"1069" -6 23 22
"1070" -7 23 22
"1071" -8 23 22
"1072" -8 24 22
"1073" -8 23 22
"1074" -8 22 22
"1075" -8 22 23
"1076" -8 22 24
"1077" -8 22 25
"1078" -8 22 24
"1079" -9 22 24
"1080" -10 22 24
"1081" -11 22 24
"1082" -12 22 24
"1083" -12 22 25
"1084" -11 22 25
"1085" -11 22 24
"1086" -11 21 24
"1087" -12 21 24
"1088" -12 21 25
"1089" -12 21 26
"1090" -12 21 25
"1091" -12 22 25
"1092" -12 22 24
"1093" -12 22 23
"1094" -12 21 23
"1095" -12 20 23
"1096" -11 20 23
"1097" -11 20 24
"1098" -11 21 24
"1099" -11 22 24
"1100" -12 22 24
"1101" -13 22 24
"1102" -13 22 25
"1103" -12 22 25
"1104" -13 22 25
"1105" -12 22 25
"1106" -12 22 26
"1107" -12 22 27
"1108" -13 22 27
"1109" -13 21 27
"1110" -13 20 27
"1111" -13 19 27
"1112" -12 19 27
"1113" -12 20 27
"1114" -12 21 27
"1115" -12 21 28
"1116" -13 21 28
"1117" -13 21 27
"1118" -13 21 28
"1119" -13 20 28
"1120" -13 19 28
"1121" -13 20 28
"1122" -13 20 27
"1123" -13 20 28
"1124" -12 20 28
"1125" -12 19 28
"1126" -11 19 28
"1127" -11 20 28
"1128" -11 20 29
"1129" -10 20 29
"1130" -10 20 30
"1131" -11 20 30
"1132" -11 19 30
"1133" -11 18 30
"1134" -11 18 31
"1135" -11 18 32
"1136" -11 18 31
"1137" -11 18 30
"1138" -11 18 29
"1139" -11 18 28
"1140" -11 18 27
"1141" -11 18 28
"1142" -11 18 27
"1143" -10 18 27
"1144" -10 18 26
"1145" -10 18 27
"1146" -9 18 27
"1147" -9 17 27
"1148" -9 18 27
"1149" -9 18 28
"1150" -9 17 28
"1151" -9 18 28
"1152" -8 18 28
"1153" -8 18 27
"1154" -8 19 27
"1155" -9 19 27
"1156" -8 19 27
"1157" -9 19 27
"1158" -9 19 28
"1159" -9 18 28
"1160" -9 19 28
"1161" -9 18 28
"1162" -9 17 28
"1163" -9 17 29
"1164" -10 17 29
"1165" -10 17 28
"1166" -10 17 27
"1167" -10 18 27
"1168" -10 18 28
"1169" -10 18 27
"1170" -9 18 27
"1171" -9 18 28
"1172" -9 18 29
"1173" -10 18 29
"1174" -9 18 29
"1175" -9 19 29
"1176" -9 18 29
"1177" -9 17 29
"1178" -9 16 29
"1179" -9 16 30
"1180" -9 17 30
"1181" -9 17 29
"1182" -9 17 28
"1183" -9 17 29
"1184" -8 17 29
"1185" -8 17 30
"1186" -8 17 31
"1187" -8 17 30
"1188" -8 17 29
"1189" -7 17 29
"1190" -7 17 28
"1191" -7 16 28
"1192" -8 16 28
"1193" -9 16 28
"1194" -9 15 28
"1195" -8 15 28
"1196" -8 14 28
"1197" -7 14 28
"1198" -7 13 28
"1199" -7 14 28
"1200" -6 14 28
"1201" -6 14 29
"1202" -6 14 28
"1203" -6 14 29
"1204" -5 14 29
"1205" -5 15 29
"1206" -5 16 29
"1207" -5 16 28
"1208" -5 15 28
"1209" -4 15 28
"1210" -4 15 29
"1211" -5 15 29
"1212" -5 16 29
"1213" -5 16 30
"1214" -5 15 30
"1215" -5 15 29
"1216" -5 14 29
"1217" -5 14 28
"1218" -4 14 28
"1219" -4 14 27
"1220" -3 14 27
"1221" -2 14 27
"1222" -3 14 27
"1223" -3 15 27
"1224" -3 14 27
"1225" -3 15 27
"1226" -3 15 28
"1227" -3 16 28
"1228" -2 16 28
"1229" -2 17 28
"1230" -2 17 27
"1231" -2 18 27
"1232" -2 19 27
"1233" -2 19 26
"1234" -2 20 26
"1235" -2 20 27
"1236" -2 19 27
"1237" -1 19 27
"1238" -2 19 27
"1239" -2 19 28
"1240" -2 19 29
"1241" -2 18 29
"1242" -2 18 30
"1243" -2 19 30
"1244" -3 19 30
"1245" -3 18 30
"1246" -3 19 30
"1247" -2 19 30
"1248" -2 20 30
"1249" -3 20 30
"1250" -4 20 30
"1251" -4 20 29
"1252" -4 19 29
"1253" -5 19 29
"1254" -6 19 29
"1255" -6 20 29
"1256" -7 20 29
"1257" -7 19 29
"1258" -6 19 29
"1259" -7 19 29
"1260" -7 18 29
"1261" -7 17 29
"1262" -7 17 28
"1263" -7 17 27
"1264" -8 17 27
"1265" -9 17 27
"1266" -9 18 27
"1267" -9 19 27
"1268" -10 19 27
"1269" -10 19 28
"1270" -11 19 28
"1271" -10 19 28
"1272" -10 18 28
"1273" -11 18 28
"1274" -11 17 28
"1275" -12 17 28
"1276" -12 17 29
"1277" -12 17 30
"1278" -11 17 30
"1279" -12 17 30
"1280" -13 17 30
"1281" -13 18 30
"1282" -13 19 30
"1283" -13 20 30
"1284" -13 20 31
"1285" -14 20 31
"1286" -13 20 31
"1287" -14 20 31
"1288" -14 21 31
"1289" -15 21 31
"1290" -15 21 30
"1291" -15 21 29
"1292" -15 21 30
"1293" -15 20 30
"1294" -15 19 30
"1295" -15 20 30
"1296" -14 20 30
"1297" -14 19 30
"1298" -14 20 30
"1299" -13 20 30
"1300" -12 20 30
"1301" -12 19 30
"1302" -13 19 30
"1303" -13 19 29
"1304" -12 19 29
"1305" -12 19 30
"1306" -12 19 31
"1307" -13 19 31
"1308" -13 20 31
"1309" -14 20 31
"1310" -14 19 31
"1311" -14 20 31
"1312" -14 19 31
"1313" -14 18 31
"1314" -14 18 30
"1315" -13 18 30
"1316" -13 18 29
"1317" -13 17 29
"1318" -14 17 29
"1319" -13 17 29
"1320" -12 17 29
"1321" -11 17 29
"1322" -11 16 29
"1323" -12 16 29
"1324" -12 16 28
"1325" -13 16 28
"1326" -14 16 28
"1327" -14 16 29
"1328" -14 16 30
"1329" -13 16 30
"1330" -13 17 30
"1331" -13 18 30
"1332" -13 17 30
"1333" -12 17 30
"1334" -13 17 30
"1335" -13 17 29
"1336" -13 16 29
"1337" -12 16 29
"1338" -12 17 29
"1339" -12 18 29
"1340" -12 18 28
"1341" -12 18 27
"1342" -12 18 26
"1343" -12 17 26
"1344" -12 17 25
"1345" -13 17 25
"1346" -13 17 26
"1347" -13 18 26
"1348" -13 17 26
"1349" -13 17 25
"1350" -12 17 25
"1351" -11 17 25
"1352" -12 17 25
"1353" -13 17 25
"1354" -13 17 24
"1355" -13 17 23
